OID=.1.3.6.1.6.3.15.1.1.3.0, Type=Counter32, Value=0
OID=.1.3.6.1.6.3.15.1.1.4.0, Type=Counter32, Value=0
OID=.1.3.6.1.6.3.15.1.1.5.0, Type=Counter32, Value=0
OID=.1.3.6.1.6.3.15.1.1.6.0, Type=Counter32, Value=0
OID=.1.3.6.1.6.3.15.1.2.1.0, Type=Integer, Value=0
OID=.1.3.6.1.6.3.16.1.1.1.1.0, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.2.1.3.1.5.99.111.109.109.57, Type=OctetString, Value=grpcomm9
OID=.1.3.6.1.6.3.16.1.2.1.3.1.6.99.111.109.109.49.48, Type=OctetString, Value=grpcomm10
OID=.1.3.6.1.6.3.16.1.2.1.3.1.6.99.111.109.109.49.49, Type=OctetString, Value=grpcomm11
OID=.1.3.6.1.6.3.16.1.2.1.3.2.5.99.111.109.109.57, Type=OctetString, Value=grpcomm9
OID=.1.3.6.1.6.3.16.1.2.1.3.2.6.99.111.109.109.49.48, Type=OctetString, Value=grpcomm10
OID=.1.3.6.1.6.3.16.1.2.1.3.2.6.99.111.109.109.49.49, Type=OctetString, Value=grpcomm11
OID=.1.3.6.1.6.3.16.1.2.1.4.1.5.99.111.109.109.57, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.4.1.6.99.111.109.109.49.48, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.4.1.6.99.111.109.109.49.49, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.4.2.5.99.111.109.109.57, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.4.2.6.99.111.109.109.49.48, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.4.2.6.99.111.109.109.49.49, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.2.1.5.1.5.99.111.109.109.57, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.2.1.5.1.6.99.111.109.109.49.48, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.2.1.5.1.6.99.111.109.109.49.49, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.2.1.5.2.5.99.111.109.109.57, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.2.1.5.2.6.99.111.109.109.49.48, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.2.1.5.2.6.99.111.109.109.49.49, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.4.1.4.8.103.114.112.99.111.109.109.57.0.0.1, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.4.1.4.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.4.1.4.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.4.1.5.8.103.114.112.99.111.109.109.57.0.0.1, Type=OctetString, Value=_all_
OID=.1.3.6.1.6.3.16.1.4.1.5.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=OctetString, Value=_all_
OID=.1.3.6.1.6.3.16.1.4.1.5.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=OctetString, Value=_all_
OID=.1.3.6.1.6.3.16.1.4.1.6.8.103.114.112.99.111.109.109.57.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.6.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.6.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.7.8.103.114.112.99.111.109.109.57.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.7.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.7.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=OctetString, Value=none
OID=.1.3.6.1.6.3.16.1.4.1.8.8.103.114.112.99.111.109.109.57.0.0.1, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.4.1.8.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.4.1.8.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.4.1.9.8.103.114.112.99.111.109.109.57.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.4.1.9.9.103.114.112.99.111.109.109.49.48.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.4.1.9.9.103.114.112.99.111.109.109.49.49.0.0.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.1.0, Type=Integer, Value=0
OID=.1.3.6.1.6.3.16.1.5.2.1.3.5.95.97.108.108.95.1.0, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.3.5.95.97.108.108.95.1.1, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.3.5.95.97.108.108.95.1.2, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.3.6.95.110.111.110.101.95.1.0, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.3.6.95.110.111.110.101.95.1.1, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.3.6.95.110.111.110.101.95.1.2, Type=OctetString, Value=
OID=.1.3.6.1.6.3.16.1.5.2.1.4.5.95.97.108.108.95.1.0, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.4.5.95.97.108.108.95.1.1, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.4.5.95.97.108.108.95.1.2, Type=Integer, Value=1
OID=.1.3.6.1.6.3.16.1.5.2.1.4.6.95.110.111.110.101.95.1.0, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.5.2.1.4.6.95.110.111.110.101.95.1.1, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.5.2.1.4.6.95.110.111.110.101.95.1.2, Type=Integer, Value=2
OID=.1.3.6.1.6.3.16.1.5.2.1.5.5.95.97.108.108.95.1.0, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.5.2.1.5.5.95.97.108.108.95.1.1, Type=Integer, Value=4
OID=.1.3.6.1.6.3.16.1.5.2.1.5.5.95.97.108.108.95.1.2, Type=Integer, Value=4
